"taxon.name","taxon.rank","identifications_count","created_at","observed_on","longitude","latitude","positional_accuracy","user.login","user.id","user.name","user.observations_count","user.identifications_count","user.activity_count","license_code","num_identification_agreements","uri","stateProvince","season"
"Carpobrotus edulis","species",2,"2020-05-03T16:55:11-03:00","2020-05-03",-54.98004558,-34.91563352,6,"mattzarrr",2595924,"Matías Zarucki",2177,1163,3340,"cc-by-nc",2,"https://www.inaturalist.org/observations/44782720","Maldonado","otoño"
"Carpobrotus edulis","species",2,"2020-04-26T15:44:04-03:00","2020-04-26",-54.940518,-34.95081369,7,"mattzarrr",2595924,"Matías Zarucki",2177,1163,3340,"cc-by-nc",2,"https://www.inaturalist.org/observations/43691254","Maldonado","otoño"
"Carpobrotus edulis","species",2,"2020-04-19T14:32:43-03:00","2020-04-19",-54.98996623,-34.91262771,9,"mattzarrr",2595924,"Matías Zarucki",2177,1163,3340,"cc-by-nc",2,"https://www.inaturalist.org/observations/42586824","Maldonado","otoño"
"Carpobrotus edulis","species",3,"2020-04-12T18:02:39+00:00","2019-11-08",-54.8338717595,-34.9071251652,1182,"linamariamon",2738140,"Lina Maria",67,1,68,,3,"https://www.inaturalist.org/observations/42015655","Maldonado","primavera"
"Carpobrotus edulis","species",2,"2020-04-04T17:06:16-03:00","2020-04-04",-54.94451398,-34.9434225,12,"mattzarrr",2595924,"Matías Zarucki",2177,1163,3340,"cc-by-nc",2,"https://www.inaturalist.org/observations/41388354","Maldonado","otoño"
"Carpobrotus edulis","species",2,"2020-03-07T16:51:10-03:00","2020-03-07",-53.77737,-34.40382833,16,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/39662279","Rocha","verano"
"Carpobrotus edulis","species",2,"2020-03-07T16:28:54-03:00","2020-03-07",-53.7769622981,-34.4021344336,48,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/39661149","Rocha","verano"
"Carpobrotus edulis","species",2,"2020-03-06T12:14:45-03:00","2020-03-06",-54.55373,-34.7951199722,,"lagunagarzon",2439287,"Guardaparques Laguna Garzón",597,277,874,"cc-by-nc-sa",2,"https://www.inaturalist.org/observations/39611006","Rocha","verano"
"Carpobrotus edulis","species",2,"2020-03-01T19:22:19-03:00","2020-03-01",-55.3143150732,-34.8310939639,11,"alicemoore1",2615935,"Alice Moore",162,45,207,"cc-by",2,"https://www.inaturalist.org/observations/39423318","Maldonado","verano"
"Carpobrotus edulis","species",1,"2020-02-09T15:23:40-03:00","2020-02-09",-53.5372997947,-34.0462913228,24,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",1,"https://www.inaturalist.org/observations/38472597","Rocha","verano"
