observed_on,longitude,latitude,user.login,user.id,uri,stateProvince,season,reviewer,density,phenology,infrastructure
17/09/2022,-55048261,-34886269,uruguayensis,6137073,https://www.inaturalist.org/observations/135382489,Maldonado,invierno,Mati,media,flowering/flower budding,1
21/06/2022,-55840524,-34786831,intendencia_de_canelones,5779479,https://www.inaturalist.org/observations/134293703,Canelones,otoño,Mati,baja,no evidence of flowering/fruiting,0
10/08/2022,-55128021,-34878918,elena_26,5434555,https://www.inaturalist.org/observations/130445922,Maldonado,invierno,Laufer,NA,flowering,NA
10/08/2022,-54603917,-34817777,daniel_hp,2495933,https://www.inaturalist.org/observations/130265533,Maldonado,invierno,Laufer,baja,no evidence of flowering/fruiting,NA
02/07/2022,-5582122,-34779041,ornitoloca,3322591,https://www.inaturalist.org/observations/124734935,Canelones,invierno,Laufer,alta,no evidence of flowering/fruiting,NA
26/06/2022,-53820922,-34394928,samuel324,2451085,https://www.inaturalist.org/observations/123951110,Rocha,otoño,Laufer,baja,no evidence of flowering/fruiting,NA
20/05/2022,-53405319,-33773323,melu13,2772454,https://www.inaturalist.org/observations/117894758,Rocha,otoño,Laufer,baja,no evidence of flowering/fruiting,0
20/05/2022,-54579173,-34807087,lagunagarzon,2439287,https://www.inaturalist.org/observations/117883494,Maldonado,otoño,Laufer,media,no evidence of flowering/fruiting,0
12/05/2022,-54154619,-34634307,martzz,2437064,https://www.inaturalist.org/observations/116739467,Rocha,otoño,Laufer,alta,no evidence of flowering/fruiting,NA
10/05/2022,-54786075,-34888162,andresferz,5274900,https://www.inaturalist.org/observations/116455224,Maldonado,otoño,Laufer,baja,fruiting,0
01/05/2022,-55550887,-34787424,martinruiz93,5257885,https://www.inaturalist.org/observations/114675993,Canelones,otoño,Laufer,media,no evidence of flowering/fruiting,0
30/04/2022,-55303455,-34841049,elena_26,5434555,https://www.inaturalist.org/observations/114303201,Maldonado,otoño,Laufer,baja,no evidence of flowering/fruiting,NA
16/04/2022,-55603598,-34770588,leila155,5503949,https://www.inaturalist.org/observations/111768060,Canelones,otoño,Laufer,media,no evidence of flowering/fruiting,0
16/04/2022,-55603598,-34770588,leila155,5503949,https://www.inaturalist.org/observations/111729043,Canelones,otoño,Laufer,media,no evidence of flowering/fruiting,0
14/04/2022,-5556822,-34783484,leila155,5503949,https://www.inaturalist.org/observations/111426459,Canelones,otoño,Laufer,media,no evidence of flowering/fruiting,0
13/04/2022,-54971033,-34949278,lurtri,2633413,https://www.inaturalist.org/observations/111377839,Maldonado,otoño,Laufer,alta,no evidence of flowering/fruiting,0
02/04/2022,-54565513,-34801042,rpereirag,2079928,https://www.inaturalist.org/observations/110244729,Rocha,otoño,Laufer,baja,no evidence of flowering/fruiting,0
15/07/2021,-55121986,-34879002,adela2215,5464493,https://www.inaturalist.org/observations/109923339,Maldonado,invierno,Laufer,media,no evidence of flowering/fruiting,0
14/08/2021,-55140343,-34873244,elizabeth1741,5464470,https://www.inaturalist.org/observations/109922922,Maldonado,invierno,Laufer,NA,flowering,NA
28/03/2022,-55667407,-34764462,guardianesdelacosta,5193960,https://www.inaturalist.org/observations/109749063,Canelones,verano,Laufer,alta,flowering,0
24/12/2019,-55045014,-34911461,luisfelipe4,865087,https://www.inaturalist.org/observations/109574399,Maldonado,primavera,Laufer,alta,flowering/flower budding,0
04/03/2022,-55652308,-34776028,gabriellaufer,2398513,https://www.inaturalist.org/observations/107910734,Canelones,verano,Laufer,alta,no evidence of flowering/fruiting,0
01/03/2022,-53779843,-34405658,gabriellaufer,2398513,https://www.inaturalist.org/observations/107716646,Rocha,verano,Laufer,alta,no evidence of flowering/fruiting,0
01/03/2022,-53777394,-34402411,gabriellaufer,2398513,https://www.inaturalist.org/observations/107714165,Rocha,verano,Laufer,media,fruiting,0
01/03/2022,-5378127,-34404882,gabriellaufer,2398513,https://www.inaturalist.org/observations/107709942,Rocha,verano,Laufer,media,fruiting,0
19/02/2022,-55823208,-34779373,ornitoloca,3322591,https://www.inaturalist.org/observations/107084263,Canelones,verano,Laufer,alta,no evidence of flowering/fruiting,0
19/02/2022,-54120448,-34582452,gabriellaufer,2398513,https://www.inaturalist.org/observations/107041694,Rocha,verano,Laufer,alta,no evidence of flowering/fruiting,0
16/02/2022,-5493718,-34957928,peltzi,1073001,https://www.inaturalist.org/observations/106876384,Maldonado,verano,Laufer,media,no evidence of flowering/fruiting,1
06/02/2022,-55324918,-34802431,gabriellaufer,2398513,https://www.inaturalist.org/observations/106270982,Maldonado,verano,Laufer,baja,no evidence of flowering/fruiting,1
20/01/2022,-55152614,-34880524,claudiasimonster,2506430,https://www.inaturalist.org/observations/105282457,Maldonado,verano,Laufer,media,flower budding,0
11/01/2022,-5526575,-34890867,flo_grattarola,736016,https://www.inaturalist.org/observations/104813471,Maldonado,verano,Laufer,media,fruiting,0
09/01/2022,-55377772,-34801358,gabriellaufer,2398513,https://www.inaturalist.org/observations/104689416,Maldonado,verano,Laufer,alta,fruiting,0
